name,aliases,type,country,admin1,lat,lon
Tirupati,,city,IN,Andhra Pradesh,13.63,79.42
Chittoor,,city,IN,Andhra Pradesh,13.22,79.10
Kadapa,Cuddapah,city,IN,Andhra Pradesh,14.47,78.82
Nellore,,city,IN,Andhra Pradesh,14.44,79.99
Vijayawada,,city,IN,Andhra Pradesh,16.51,80.65
Warangal,,city,IN,Telangana,17.97,79.59
Surat,,city,IN,Gujarat,21.17,72.83
Vadodara,Baroda,city,IN,Gujarat,22.31,73.18
Kanpur,,city,IN,Uttar Pradesh,26.45,80.33
Varanasi,,city,IN,Uttar Pradesh,25.32,82.97
Agra,,city,IN,Uttar Pradesh,27.18,78.01
Gorakhpur,,city,IN,Uttar Pradesh,26.76,83.37
Bareilly,,city,IN,Uttar Pradesh,28.37,79.43
Lakhimpur Kheri,Lakhimpur,city,IN,Uttar Pradesh,27.95,80.78
Chandigarh,,city,IN,Chandigarh,30.73,76.78
Amritsar,,city,IN,Punjab,31.63,74.87
Jodhpur,,city,IN,Rajasthan,26.24,73.02
Udaipur,,city,IN,Rajasthan,24.59,73.71
Ranthambore,Sawai Madhopur,park,IN,Rajasthan,26.02,76.50
Jabalpur,,city,IN,Madhya Pradesh,23.18,79.99
Katni,,city,IN,Madhya Pradesh,23.83,80.39
Gwalior,,city,IN,Madhya Pradesh,26.22,78.18
Chandrapur,,city,IN,Maharashtra,19.96,79.30
Gadchiroli,,city,IN,Maharashtra,20.18,80.00
Nashik,,city,IN,Maharashtra,20.00,73.79
Thane,,city,IN,Maharashtra,19.22,72.98
Srinagar,,city,IN,Jammu and Kashmir,34.08,74.80
Leh,,city,IN,Ladakh,34.16,77.58
Port Blair,Sri Vijaya Puram,city,IN,Andaman and Nicobar,11.62,92.73
Sundarbans,Sunderbans,park,IN,West Bengal,21.95,88.90
Nepal,,country,NP,,28.39,84.12
Kathmandu,,city,NP,,27.72,85.32
Birgunj,,city,NP,,27.01,84.88
Bhutan,,country,BT,,27.51,90.43
Bangladesh,,country,BD,,23.68,90.36
Dhaka,,city,BD,,23.81,90.41
Chittagong,Chattogram,city,BD,,22.36,91.78
Sri Lanka,,country,LK,,7.87,80.77
Colombo,,city,LK,,6.93,79.86
Pakistan,,country,PK,,30.38,69.35
China,,country,CN,,35.86,104.20
Kunming,,city,CN,,25.04,102.71
Ruili,,city,CN,,24.01,97.85
Guangzhou,,city,CN,,23.13,113.26
Hong Kong,,city,HK,,22.32,114.17
Myanmar,Burma,country,MM,,21.91,95.96
Yangon,Rangoon,city,MM,,16.87,96.20
Mandalay,,city,MM,,21.96,96.09
Tamu,,city,MM,,24.22,94.31
Tachileik,,city,MM,,20.45,99.88
Mong La,,city,MM,,21.68,101.89
Thailand,,country,TH,,15.87,100.99
Bangkok,,city,TH,,13.76,100.50
Suvarnabhumi,,airport,TH,,13.69,100.75
Mae Sai,,city,TH,,20.43,99.88
Chiang Mai,,city,TH,,18.79,98.98
Songkhla,,city,TH,,7.19,100.60
Vietnam,Viet Nam,country,VN,,14.06,108.28
Hanoi,Ha Noi,city,VN,,21.03,105.85
Ho Chi Minh City,Saigon,city,VN,,10.82,106.63
Hai Phong,Haiphong,city,VN,,20.84,106.69
Da Nang,,city,VN,,16.05,108.20
Laos,Lao PDR,country,LA,,19.86,102.50
Vientiane,,city,LA,,17.97,102.63
Golden Triangle,Bokeo,region,LA,,20.35,100.08
Cambodia,,country,KH,,12.57,104.99
Phnom Penh,,city,KH,,11.56,104.93
Malaysia,,country,MY,,4.21,101.98
Kuala Lumpur,KLIA;KL,city,MY,,3.14,101.69
Penang,,city,MY,,5.41,100.33
Johor Bahru,Johor,city,MY,,1.49,103.74
Sabah,,state,MY,,5.98,116.08
Singapore,,country,SG,,1.35,103.82
Indonesia,,country,ID,,-0.79,113.92
Jakarta,,city,ID,,-6.21,106.85
Surabaya,,city,ID,,-7.25,112.75
Medan,,city,ID,,3.60,98.67
Sumatra,,region,ID,,-0.59,101.34
Kalimantan,Borneo,region,ID,,-0.28,114.59
Sulawesi,,region,ID,,-2.00,120.00
Philippines,,country,PH,,12.88,121.77
Manila,,city,PH,,14.60,120.98
Palawan,,region,PH,,9.83,118.74
Dubai,,city,AE,,25.20,55.27
United Arab Emirates,UAE,country,AE,,23.42,53.85
Nigeria,,country,NG,,9.08,8.68
Lagos,,city,NG,,6.52,3.38
Mozambique,,country,MZ,,-18.67,35.53
South Africa,,country,ZA,,-30.56,22.94
Kenya,,country,KE,,-0.02,37.91
Madagascar,,country,MG,,-18.77,46.87
Una,,city,IN,Himachal Pradesh,31.46,76.27
Sonapur,,city,IN,Assam,26.12,91.97
Kandhamal,Kandhamala;Phulbani,district,IN,Odisha,20.47,84.23
Ri-Bhoi,Ri Bhoi;Nongpoh,district,IN,Meghalaya,25.90,91.88
Nandankanan,Nandankanan Zoo,park,IN,Odisha,20.40,85.82
Raja Ampat,,region,ID,West Papua,-0.50,130.60
Limpopo,,state,ZA,Limpopo,-23.40,29.42
Mangochi,,city,MW,Southern Region,-14.48,35.26
Malawi,,country,MW,,-13.25,34.30
OR Tambo,O.R. Tambo;OR Tambo International,airport,ZA,Gauteng,-26.14,28.25
Jomo Kenyatta,JKIA,airport,KE,Nairobi,-1.32,36.93
Bole,Bole International;Addis Ababa Bole,airport,ET,Addis Ababa,8.98,38.80
Entebbe,,airport,UG,Central,0.04,32.44
Noi Bai,Nội Bài,airport,VN,Hanoi,21.22,105.81
Tan Son Nhat,Tân Sơn Nhất,airport,VN,Ho Chi Minh City,10.82,106.66
Soekarno-Hatta,Soekarno Hatta,airport,ID,Banten,-6.13,106.66
Changi,Changi Airport,airport,SG,,1.36,103.99
Chhatrapati Shivaji,CSMIA;Mumbai airport,airport,IN,Maharashtra,19.09,72.87
Indira Gandhi International,IGI Airport;IGI airport,airport,IN,Delhi,28.56,77.10
Guarulhos,,airport,BR,São Paulo,-23.43,-46.47
Santa Cruz de la Sierra,Santa Cruz,city,BO,Santa Cruz,-17.78,-63.18
Bali,,region,ID,Bali,-8.40,115.19
